Agent ID,Agent Name,Agent Type,taxonomy ID,taxonomy level,Lineage,Agent properties,HAMAP,Viralzone,Viralzone Link,GOLD
60,Chlamydia trachomatis N/S,Bacterium,813,1,"[<a href=""/agents/56""> Chlamydia</a>, <a href=""/agents/59""> trachomatis</a>, <a href=""/agents/60""> N/S</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/1"">Gram-negative</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/18"">Obligate intracellular aerobic</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/3"">Nonmotile</a> </p>, <p> <a href=""/agentPropertyTypes/5"">Cell coat</a> : <a href=""/agentProperties/19"">Lacks peptidoglycan</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/20"">Pleomorphic</a> </p>]","
            -
		    ",,,
61,Clostridium,Bacterium,1485,0,"[<a href=""/agents/61""> Clostridium</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/21"">Obligate anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/22"">Rod-shaped</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/23"">Anaerobic</a> </p>]","
            -
		    ",,,"[<p> <a href=""https://gold.jgi.doe.gov/organisms?id=28736"" target=""_new"">28736</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=28737"" target=""_new"">28737</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=28738"" target=""_new"">28738</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=44924"" target=""_new"">44924</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=44925"" target=""_new"">44925</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=44926"" target=""_new"">44926</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=44927"" target=""_new"">44927</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=44928"" target=""_new"">44928</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=44929"" target=""_new"">44929</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=44965"" target=""_new"">44965</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=44966"" target=""_new"">44966</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=44967"" target=""_new"">44967</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=44968"" target=""_new"">44968</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=44969"" target=""_new"">44969</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=44970"" target=""_new"">44970</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=44971"" target=""_new"">44971</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=45155"" target=""_new"">45155</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=104058"" target=""_new"">104058</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=104094"" target=""_new"">104094</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=104095"" target=""_new"">104095</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=104096"" target=""_new"">104096</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=105378"" target=""_new"">105378</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=105379"" target=""_new"">105379</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=105380"" target=""_new"">105380</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=105381"" target=""_new"">105381</a></p>]"
62,Clostridium botulinum,Bacterium,1491,0,"[<a href=""/agents/61""> Clostridium</a>, <a href=""/agents/62""> botulinum</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/21"">Obligate anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/22"">Rod-shaped</a> </p>]","
            CLOBO
		    ",,,"[<p> <a href=""https://gold.jgi.doe.gov/organisms?id=4457"" target=""_new"">4457</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=33067"" target=""_new"">33067</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=33071"" target=""_new"">33071</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=98629"" target=""_new"">98629</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=98719"" target=""_new"">98719</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=98772"" target=""_new"">98772</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=98799"" target=""_new"">98799</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=98802"" target=""_new"">98802</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=98803"" target=""_new"">98803</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=98807"" target=""_new"">98807</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=98808"" target=""_new"">98808</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=101933"" target=""_new"">101933</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=106104"" target=""_new"">106104</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=106105"" target=""_new"">106105</a></p>]"
76,Clostridium botulinum N/S Neurotoxin type A,Toxin,1491,2,"[<a href=""/agents/61""> Clostridium</a>, <a href=""/agents/62""> botulinum</a>, <a href=""/agents/75""> N/S</a>, <a href=""/agents/76""> Neurotoxin type A</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/21"">Obligate anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/22"">Rod-shaped</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>]","
            -
		    ",,,
78,Clostridium botulinum N/S Neurotoxin type B,Toxin,1491,2,"[<a href=""/agents/61""> Clostridium</a>, <a href=""/agents/62""> botulinum</a>, <a href=""/agents/77""> N/S</a>, <a href=""/agents/78""> Neurotoxin type B</a>]","[<p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/21"">Obligate anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/22"">Rod-shaped</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>]","
            -
		    ",,,
63,Clostridium botulinum Serotype A,Bacterium,36826,0,"[<a href=""/agents/61""> Clostridium</a>, <a href=""/agents/62""> botulinum</a>, <a href=""/agents/63""> Serotype A</a>]","[<p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/21"">Obligate anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/22"">Rod-shaped</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>]","
            -
		    ",,,
64,Clostridium botulinum Serotype A Neurotoxin type A,Toxin,36826,0,"[<a href=""/agents/61""> Clostridium</a>, <a href=""/agents/62""> botulinum</a>, <a href=""/agents/63""> Serotype A</a>, <a href=""/agents/64""> Neurotoxin type A</a>]","[<p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/21"">Obligate anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/22"">Rod-shaped</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>]","
            -
		    ",,,
65,Clostridium botulinum Serotype A Progenitor toxin type A,Toxin,36826,0,"[<a href=""/agents/61""> Clostridium</a>, <a href=""/agents/62""> botulinum</a>, <a href=""/agents/63""> Serotype A</a>, <a href=""/agents/65""> Progenitor toxin type A</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/21"">Obligate anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/22"">Rod-shaped</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>]","
            -
		    ",,,
66,Clostridium botulinum Serotype C,Bacterium,36828,0,"[<a href=""/agents/61""> Clostridium</a>, <a href=""/agents/62""> botulinum</a>, <a href=""/agents/66""> Serotype C</a>]","[<p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/21"">Obligate anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/22"">Rod-shaped</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>]","
            -
		    ",,,
67,Clostridium botulinum Serotype C Neurotoxin,Toxin,36828,1,"[<a href=""/agents/61""> Clostridium</a>, <a href=""/agents/62""> botulinum</a>, <a href=""/agents/66""> Serotype C</a>, <a href=""/agents/67""> Neurotoxin</a>]","[<p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/21"">Obligate anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/22"">Rod-shaped</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>]","
            -
		    ",,,
68,Clostridium botulinum Serotype C Progenitor toxin type C,Toxin,36828,0,"[<a href=""/agents/61""> Clostridium</a>, <a href=""/agents/62""> botulinum</a>, <a href=""/agents/66""> Serotype C</a>, <a href=""/agents/68""> Progenitor toxin type C</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/21"">Obligate anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/22"">Rod-shaped</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>]","
            -
		    ",,,
70,"Clostridium botulinum Serotype D, OFD05 Neurotoxin",Toxin,1491,2,"[<a href=""/agents/61""> Clostridium</a>, <a href=""/agents/62""> botulinum</a>, <a href=""/agents/69""> Serotype D, OFD05</a>, <a href=""/agents/70""> Neurotoxin</a>]","[<p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/21"">Obligate anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/22"">Rod-shaped</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>]","
            -
		    ",,,
71,Clostridium botulinum Serotype F,Bacterium,36831,0,"[<a href=""/agents/61""> Clostridium</a>, <a href=""/agents/62""> botulinum</a>, <a href=""/agents/71""> Serotype F</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/21"">Obligate anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/22"">Rod-shaped</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>]","
            -
		    ",,,
72,Clostridium botulinum Serotype F Neurotoxin F,Toxin,36831,0,"[<a href=""/agents/61""> Clostridium</a>, <a href=""/agents/62""> botulinum</a>, <a href=""/agents/71""> Serotype F</a>, <a href=""/agents/72""> Neurotoxin F</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/21"">Obligate anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/22"">Rod-shaped</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>]","
            -
		    ",,,
74,Clostridium botulinum Serotype G Neurotoxin,Toxin,1491,2,"[<a href=""/agents/61""> Clostridium</a>, <a href=""/agents/62""> botulinum</a>, <a href=""/agents/73""> Serotype G</a>, <a href=""/agents/74""> Neurotoxin</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/21"">Obligate anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/22"">Rod-shaped</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>]","
            -
		    ",,,
81,Clostridium difficle VP 10463 Toxin A,Toxin,1485,3,"[<a href=""/agents/61""> Clostridium</a>, <a href=""/agents/79""> difficle</a>, <a href=""/agents/80""> VP 10463</a>, <a href=""/agents/81""> Toxin A</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/22"">Rod-shaped</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/23"">Anaerobic</a> </p>]","
            -
		    ",,,
84,Clostridium perfringens N/S Delta toxin,Toxin,1502,2,"[<a href=""/agents/61""> Clostridium</a>, <a href=""/agents/82""> perfringens</a>, <a href=""/agents/83""> N/S</a>, <a href=""/agents/84""> Delta toxin</a>]",,"
            -
		    ",,,
91,Clostridium tetani N/S Tetanus neurotoxin,Toxin,1513,2,"[<a href=""/agents/61""> Clostridium</a>, <a href=""/agents/85""> tetani</a>, <a href=""/agents/90""> N/S</a>, <a href=""/agents/91""> Tetanus neurotoxin</a>]","[<p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/21"">Obligate anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/22"">Rod-shaped</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>]","
            -
		    ",,,
93,Clostridium tetani N/S Tetanus neurotoxin,Toxin,1513,2,"[<a href=""/agents/61""> Clostridium</a>, <a href=""/agents/85""> tetani</a>, <a href=""/agents/92""> N/S</a>, <a href=""/agents/93""> Tetanus neurotoxin</a>]","[<p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/21"">Obligate anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/22"">Rod-shaped</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>]","
            -
		    ",,,
95,Clostridium tetani N/S Tetanus neurotoxin,Toxin,1513,2,"[<a href=""/agents/61""> Clostridium</a>, <a href=""/agents/85""> tetani</a>, <a href=""/agents/94""> N/S</a>, <a href=""/agents/95""> Tetanus neurotoxin</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/21"">Obligate anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/22"">Rod-shaped</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>]","
            -
		    ",,,
87,Clostridium tetani N/S Tetanus neurotoxin,Toxin,1513,2,"[<a href=""/agents/61""> Clostridium</a>, <a href=""/agents/85""> tetani</a>, <a href=""/agents/86""> N/S</a>, <a href=""/agents/87""> Tetanus neurotoxin</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/21"">Obligate anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/22"">Rod-shaped</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>]","
            -
		    ",,,
89,Clostridium tetani N/S Tetanus neurotoxin,Toxin,1513,2,"[<a href=""/agents/61""> Clostridium</a>, <a href=""/agents/85""> tetani</a>, <a href=""/agents/88""> N/S</a>, <a href=""/agents/89""> Tetanus neurotoxin</a>]","[<p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/21"">Obligate anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/22"">Rod-shaped</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>]","
            -
		    ",,,
97,Coronavirus Betacoronavirus,Virus,694002,0,"[<a href=""/agents/96""> Coronavirus</a>, <a href=""/agents/97""> Betacoronavirus</a>]","[<p> <a href=""/agentPropertyTypes/12"">Baltimore classification</a> : <a href=""/agentProperties/48"">IV - (+)ssRNA viruses</a> </p>, <p> <a href=""/agentPropertyTypes/6"">Virion structure</a> : <a href=""/agentProperties/24"">Enveloped</a> </p>, <p> <a href=""/agentPropertyTypes/7"">Capsid symmetry</a> : <a href=""/agentProperties/25"">Helical</a> </p>, <p> <a href=""/agentPropertyTypes/8"">RNA structure</a> : <a href=""/agentProperties/26"">Unknown</a> </p>]","
            9BETC
		    ", Betacoronavirus,http://viralzone.expasy.org/all_by_species/764.html,
98,Coronavirus Betacoronavirus OC43,Virus,31631,0,"[<a href=""/agents/96""> Coronavirus</a>, <a href=""/agents/97""> Betacoronavirus</a>, <a href=""/agents/98""> OC43</a>]","[<p> <a href=""/agentPropertyTypes/12"">Baltimore classification</a> : <a href=""/agentProperties/48"">IV - (+)ssRNA viruses</a> </p>, <p> <a href=""/agentPropertyTypes/6"">Virion structure</a> : <a href=""/agentProperties/24"">Enveloped</a> </p>, <p> <a href=""/agentPropertyTypes/7"">Capsid symmetry</a> : <a href=""/agentProperties/25"">Helical</a> </p>, <p> <a href=""/agentPropertyTypes/8"">RNA structure</a> : <a href=""/agentProperties/26"">Unknown</a> </p>]","
            CVHOC
		    ",,,"[<p> <a href=""https://gold.jgi.doe.gov/organisms?id=81798"" target=""_new"">81798</a></p>]"
101,Cryptococcus neoformans ATCC 34877,Fungus,5207,1,"[<a href=""/agents/99""> Cryptococcus</a>, <a href=""/agents/100""> neoformans</a>, <a href=""/agents/101""> ATCC 34877</a>]","[<p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/27"">Encapsulated cell</a> </p>]","
            -
		    ",,,
102,Cryptococcus neoformans HFH 32,Fungus,5207,1,"[<a href=""/agents/99""> Cryptococcus</a>, <a href=""/agents/100""> neoformans</a>, <a href=""/agents/102""> HFH 32</a>]","[<p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/27"">Encapsulated cell</a> </p>]","
            CRYNE
		    ",,,
103,Cryptococcus neoformans IMT 43,Fungus,5207,1,"[<a href=""/agents/99""> Cryptococcus</a>, <a href=""/agents/100""> neoformans</a>, <a href=""/agents/103""> IMT 43</a>]","[<p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/27"">Encapsulated cell</a> </p>]","
            CRYNE
		    ",,,
104,Cryptococcus neoformans NIH 68A,Fungus,5207,1,"[<a href=""/agents/99""> Cryptococcus</a>, <a href=""/agents/100""> neoformans</a>, <a href=""/agents/104""> NIH 68A</a>]","[<p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/27"">Encapsulated cell</a> </p>]","
            CRYNE
		    ",,,
107,Entamoeba histolytica HM1-IMSS,Protozoan,5759,1,"[<a href=""/agents/105""> Entamoeba</a>, <a href=""/agents/106""> histolytica</a>, <a href=""/agents/107""> HM1-IMSS</a>]",,"
            -
		    ",,,
109,Entamoeba histolytica N/S,Protozoan,5759,1,"[<a href=""/agents/105""> Entamoeba</a>, <a href=""/agents/106""> histolytica</a>, <a href=""/agents/109""> N/S</a>]",,"
            -
		    ",,,
108,Entamoeba histolytica N/S,Protozoan,5759,1,"[<a href=""/agents/105""> Entamoeba</a>, <a href=""/agents/106""> histolytica</a>, <a href=""/agents/108""> N/S</a>]",,"
            -
		    ",,,
112,Enterobacteriaceae spp. N/S,Bacterium,126790,1,"[<a href=""/agents/110""> Enterobacteriaceae</a>, <a href=""/agents/111""> spp.</a>, <a href=""/agents/112""> N/S</a>]",,"
            -
		    ",,,
115,Escherichia coli 107/86,Bacterium,562,1,"[<a href=""/agents/113""> Escherichia</a>, <a href=""/agents/114""> coli</a>, <a href=""/agents/115""> 107/86</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/1"">Gram-negative</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/2"">Facultative anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/13"">Pathogenicity</a> : <a href=""/agentProperties/57"">VTEC</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/14"">Bacillus</a> </p>]","
            -
		    ",,,
116,Escherichia coli 346,Bacterium,562,1,"[<a href=""/agents/113""> Escherichia</a>, <a href=""/agents/114""> coli</a>, <a href=""/agents/116""> 346</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/1"">Gram-negative</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/2"">Facultative anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/13"">Pathogenicity</a> : <a href=""/agentProperties/56"">UPEC</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/14"">Bacillus</a> </p>]","
ECOLX
",,,
117,Escherichia coli 6883,Bacterium,562,1,"[<a href=""/agents/113""> Escherichia</a>, <a href=""/agents/114""> coli</a>, <a href=""/agents/117""> 6883</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/1"">Gram-negative</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/2"">Facultative anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/13"">Pathogenicity</a> : <a href=""/agentProperties/56"">UPEC</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/14"">Bacillus</a> </p>]","
ECOLX
",,,
119,Escherichia coli Bi 135 A O157:H7,Bacterium,562,2,"[<a href=""/agents/113""> Escherichia</a>, <a href=""/agents/114""> coli</a>, <a href=""/agents/118""> Bi 135 A</a>, <a href=""/agents/119""> O157:H7</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/1"">Gram-negative</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/2"">Facultative anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/13"">Pathogenicity</a> : <a href=""/agentProperties/53"">EHEC</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/14"">Bacillus</a> </p>]","
            -
		    ",,,
120,Escherichia coli EAggEC T7,Bacterium,562,1,"[<a href=""/agents/113""> Escherichia</a>, <a href=""/agents/114""> coli</a>, <a href=""/agents/120""> EAggEC T7</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/1"">Gram-negative</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/2"">Facultative anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/13"">Pathogenicity</a> : <a href=""/agentProperties/52"">EAEC</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/13"">Flagellated</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/14"">Bacillus</a> </p>]","
            -
		    ",,,
